package_name,source,download_link,owner,repository,sub,date_added_to_list,skip,comments,Pre-processing-GLS-threshold,Pre-processing-GLS-curve-fitting,Pre-processing-Twilight-free,Pre-processing-Triang,Pre-processing-GLS-DR,Post-processing-cleaning,Post-processing-compression,Post-processing-metrics,Visualization,Track-description,Path-reconstruction,Behav-clustering,Behav-segment,Behav-HMM,Space-HR,Space-HU,Space-non-convent,Simulation,Interactions,Similarity,Population-size,Environm,DB,Biologg,Non-biologg
ctmm,cran,,,,,,,,,,,,,,,,,,T,,,,T,,,T,,,,,,,
diveMove,cran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,
EMbC,cran,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,
FLightR,cran,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,
GeoLight,cran,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,
GGIR,cran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,
HMMoce,cran,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,
marcher,cran,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,
momentuHMM,cran,,,,,,,,,,,,,,,T,,,,,,T,,,,T,,,,,,,
move,cran,,,,,,,,,,,,,,,T,,,,,,,T,,,,,,,,,,
moveHMM,cran,,,,,,,,,,,,,,,T,,,,,,T,,,,T,,,,,,,
moveVis,cran,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,
moveWindSpeed,cran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,
nparACT,cran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,
PhysicalActivity,cran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,
recurse,cran,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,
rpostgisLT,cran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,
rsMove,cran,,,,,,,,,,,,,,T,,,,,,,,,,T,,,,,,,,
SDLfilter,cran,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,
segclust2d,cran,,,,,,,,,,,,,,,T,,,,,T,,,,,,,,,,,,
SiMRiv,cran,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,
trackdem,cran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T
trackeR,cran,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,
TrajDataMining,cran,,,,,,,,,,,,,T,T,,,,,,,,,,,,T,,,,,,
trajectories,cran,,,,,,,,,,,,,,T,T,,,,,,,,,,,,T,,,,,
trajr,cran,,,,,,,,,,,,,,T,T,,T,,,,,,,,T,,,,,,,
trip,cran,,,,,,,,,,,,,T,,T,,,,,,,,,,,,,,,,,
VTrack,cran,,,,,,,,,,,,,,,T,,,,,,,,,T,,,,,,,,
wildlifeDI,cran,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,
ctmmweb,github,,Ctmm-initiative,ctmmweb,,2020-07-01,,,,,,,,,,,,,T,,,,T,,,T,,,,,,,
stmove,github,,dpseidel,stmove,,2020-07-01,,,,,,,,,,,T,T,,,,,,,,,,,,,,,
rerddapXtracto,cran,,,,,2020-07-01,,,,,,,,,,,,,,,,,,,,,,,,T,,,
overlap,cran,,,,,2020-07-01,T,Doesn't count as tracking package as it's camera traps with no individual ID,,,,,,,,,,,,,,,,,,,,,,,,,
Rhabit,github,,papayoun,Rhabit,,2020-07-01,,,,,,,,,,,,,,,,,,T,,,,,,,,,
vmstools,github,,nielshintzen,vmstools,vmstools,2020-07-01,,,,,,,,,T,T,,,,,,,T,,,,,,,,,,
foieGras,cran,,,,,,,,,,,,,T,,,,,T,,,,,,,,,,,,,,
tripEstimation,cran,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,
geoviz,cran,,,,,2020-07-01,T,Doesn't count as tracking package,,,,,,,,,,,,,,,,,,,,,,,,,
